cluster,gene,score,pval_adj
0,IGKC,167.68562,0.0
0,IGLC2,117.22039,0.0
0,IGLC3,96.81051,0.0
0,COL3A1,78.67323,0.0
0,IGHG1,73.32188,0.0
0,IGHA1,62.166843,0.0
0,TMSB4X,57.997814,0.0
0,IGHG2,40.765793,0.0
0,IGHM,39.40896,0.0
0,IGHG3,37.9267,0.0
0,SFTPB,37.750572,0.0
0,SPARC,36.91094,4.602142944689821e-295
0,CD74,36.53067,4.977913424899765e-289
0,SFTPA2,33.08737,5.387948460215585e-237
0,COL1A1,32.62336,2.1403159185548195e-230
0,A2M,32.36372,9.36606672559723e-227
0,COL1A2,32.28483,1.1358208687633526e-225
0,LYZ,27.723011,3.2998512620410403e-166
0,VIM,27.60821,7.558696505870733e-165
0,FN1,25.602139,1.1749363864004966e-141
0,MGP,25.466043,3.6493970946218107e-140
0,MMP2,22.667969,6.38700804381771e-111
0,BGN,22.2329,1.094568405536436e-106
0,LUM,22.010212,1.4697440112973827e-104
0,COL6A3,21.303518,6.499676579025644e-98
0,APOE,20.66466,4.299480707236104e-92
0,TIMP1,20.58578,2.1252170437259886e-91
0,ZFP36L2,20.512775,9.261214198460333e-91
0,C3,19.563852,1.7052813449952435e-82
0,TMSB10,19.497482,6.071046630618212e-82
1,TMSB4X,139.35497,0.0
1,CEACAM6,21.690546,5.011319206853656e-101
1,MT-CO3,19.875097,1.1966788035712493e-84
1,S100A6,19.809315,4.026076657029769e-84
1,ELF3,15.52956,2.5190216402431882e-51
1,MT-CO2,13.156489,1.331129715315638e-36
1,MT-CO1,11.088119,9.862970646380509e-26
1,MT-CYB,10.820647,1.821907957003627e-24
1,CEACAM5,10.466095,7.6310992923544e-23
1,CLDN4,9.478543,1.5384596190943238e-18
1,CAPN13,8.83116,5.011523475247358e-16
1,MT-ND4,8.688501,1.6674209550486538e-15
1,MT-ATP6,8.68685,1.6674209550486538e-15
1,RNASE1,7.6885276,6.3429768691300375e-12
1,SHISA3,7.179997,2.8358893500066905e-10
1,MT-ND4L,6.2543244,1.401177021227817e-07
1,LY6E,6.187118,2.1091265376574742e-07
1,SAT1,6.009555,6.054200158269352e-07
1,BPIFA1,5.7611394,2.5783228694370116e-06
