group,names,scores,logfoldchanges,pvals,pvals_adj
21,EMP3,54.686745,10.837106,0.0,0.0
17,TNFAIP2,73.28272,9.511197,0.0,0.0
18,PLEKHO1,50.86982,8.645268,0.0,0.0
9,SCGB3A2,46.82528,8.31217,0.0,0.0
7,SFTPC,118.213135,8.230751,0.0,0.0
16,UTRN,42.06886,6.858839,0.0,0.0
9,PIGR,95.43119,6.5357227,0.0,0.0
7,SFTPD,58.608414,6.281253,0.0,0.0
13,EIF4E3,38.786495,6.2703567,0.0,0.0
9,SERPINA1,84.794525,6.1923966,0.0,0.0
7,SFTPA1,64.54084,6.1059933,0.0,0.0
2,MS4A1,52.86351,5.6160984,0.0,0.0
5,SCGB3A1,125.53083,5.461735,0.0,0.0
0,IGLC2,218.63235,5.457563,0.0,0.0
0,IGLC3,210.6265,5.4083195,0.0,0.0
7,SFTPB,105.29477,5.2577486,0.0,0.0
7,SFTPA2,101.61195,5.1982713,0.0,0.0
5,BPIFA1,121.57314,5.1912003,0.0,0.0
0,IGKC,216.96724,4.884814,0.0,0.0
9,SFTPB,92.87534,4.767351,0.0,0.0
1,COL3A1,184.15038,4.512004,0.0,0.0
0,IGHG1,164.96042,4.3194313,0.0,0.0
0,JCHAIN,41.552246,4.2886095,0.0,0.0
0,IGLC1,63.590717,4.1624475,0.0,0.0
1,COL1A2,141.06273,4.0515203,0.0,0.0
8,FOSB,49.003498,4.0391192,0.0,0.0
0,IGHA1,130.30115,4.009862,0.0,0.0
1,COL1A1,160.42842,3.9451232,0.0,0.0
3,APOE,119.786896,3.9023583,0.0,0.0
0,IGHG3,90.459465,3.8088486,0.0,0.0
0,IGHM,92.20141,3.7485445,0.0,0.0
5,CEACAM6,145.41553,3.7191904,0.0,0.0
2,CD37,38.820957,3.7061174,0.0,0.0
2,CLU,52.990845,3.6952186,0.0,0.0
1,COL5A1,52.1509,3.3403344,0.0,0.0
3,LYZ,83.823326,3.3182268,0.0,0.0
3,CD68,42.24288,3.2810686,0.0,0.0
1,COL6A3,85.58141,3.1933815,0.0,0.0
1,FN1,79.22834,3.190264,0.0,0.0
0,IGHG2,80.2481,3.1749105,0.0,0.0
5,MUC3A,42.70539,3.1364324,0.0,0.0
5,S100A6,122.49645,3.1082392,0.0,0.0
2,CXCR4,73.63346,3.07776,0.0,0.0
8,ELF3,72.43833,3.0550933,0.0,0.0
1,AEBP1,49.732594,3.0172021,0.0,0.0
5,LY6E,94.20615,2.910543,0.0,0.0
1,CTHRC1,40.097996,2.878958,0.0,0.0
9,SFTPA2,49.162388,2.8514824,0.0,0.0
5,SLC34A2,103.08449,2.8403525,0.0,0.0
8,RHOB,52.583893,2.8236775,0.0,0.0
8,FOS,62.607212,2.8182883,0.0,0.0
8,ZFP36,64.23906,2.8041768,0.0,0.0
1,MMP2,63.28897,2.786313,0.0,0.0
3,FTL,72.90967,2.7744544,0.0,0.0
5,MUC1,70.45476,2.7079215,0.0,0.0
5,CLDN4,81.49091,2.658086,0.0,0.0
5,CP,54.726135,2.6530318,0.0,0.0
3,PSAP,63.240894,2.6328056,0.0,0.0
1,SPARC,80.3378,2.6320422,0.0,0.0
5,ELF3,90.77427,2.6298513,0.0,0.0
1,LUM,57.48283,2.6014557,0.0,0.0
3,CD74,92.79677,2.588305,0.0,0.0
5,AGR2,54.08833,2.5571604,0.0,0.0
1,BGN,57.278973,2.5293732,0.0,0.0
5,MLPH,60.564583,2.5184138,0.0,0.0
5,CEACAM5,68.66512,2.4957566,0.0,0.0
3,CTSZ,47.266815,2.4197042,0.0,0.0
5,IFI6,52.062183,2.408803,0.0,0.0
5,CXCL17,47.73522,2.3781323,0.0,0.0
5,CAPN2,73.43176,2.3751426,0.0,0.0
5,NAPSA,55.866398,2.3644183,0.0,0.0
5,WFDC2,52.38515,2.3636389,0.0,0.0
5,MMP7,46.348057,2.357155,0.0,0.0
5,CAPN13,52.44087,2.341773,0.0,0.0
5,RNASE1,74.96284,2.3357399,0.0,0.0
5,MT-CO2,91.08677,2.3242779,0.0,0.0
5,SLPI,38.767067,2.322763,0.0,0.0
3,CTSB,63.445705,2.3067694,0.0,0.0
5,TACSTD2,44.840633,2.2935145,0.0,0.0
5,MT-CO3,87.73441,2.2897387,0.0,0.0
1,DCN,52.24532,2.2896106,0.0,0.0
5,MT-CYB,89.61796,2.2878337,0.0,0.0
8,CEACAM6,59.55687,2.2840943,0.0,0.0
8,CLDN4,46.610542,2.2802763,0.0,0.0
5,IFI27,43.513577,2.2788775,0.0,0.0
5,MDK,56.8479,2.2710588,0.0,0.0
0,TXNDC5,42.360493,2.2572165,0.0,0.0
9,SLC34A2,51.351723,2.2263103,0.0,0.0
5,SPINT2,50.19855,2.2184446,0.0,0.0
2,CD74,79.30845,2.1316462,0.0,0.0
1,MGP,44.761814,2.009421,0.0,0.0
8,NFKBIA,39.98755,2.0052238,0.0,0.0
2,TXNIP,40.30633,1.9760169,0.0,0.0
8,S100A6,51.937984,1.958176,0.0,0.0
1,TIMP1,51.798042,1.8851981,0.0,0.0
4,A2M,48.564133,1.7999815,0.0,0.0
1,C3,40.406227,1.7334996,0.0,0.0
8,SAT1,40.42627,1.6929361,0.0,0.0
8,MT-CO3,44.20332,1.5833235,0.0,0.0
3,FTH1,56.662754,1.494922,0.0,0.0
1,A2M,41.411144,1.3078427,0.0,0.0
3,VIM,41.147926,1.2794156,0.0,0.0
3,TMSB4X,44.599976,0.9415312,0.0,0.0
2,TMSB4X,51.16109,0.87005585,0.0,0.0
0,TMSB4X,-38.647755,-0.88828045,0.0,0.0
0,MT-ND4L,-39.081276,-1.2088721,0.0,0.0
0,ACTB,-45.013615,-1.2727109,0.0,0.0
0,MT-ATP6,-48.060944,-1.3000292,0.0,0.0
0,MT-ND4,-48.579487,-1.3051046,0.0,0.0
0,MT-CYB,-52.030586,-1.3683281,0.0,0.0
0,MT-CO2,-51.630737,-1.3765641,0.0,0.0
0,SAT1,-40.604324,-1.4056736,0.0,0.0
0,TMSB10,-57.61231,-1.4572159,0.0,0.0
0,MT-CO1,-57.88187,-1.4814366,0.0,0.0
4,CEACAM6,-43.04009,-1.5163556,0.0,0.0
0,MT-CO3,-67.20771,-1.558443,0.0,0.0
6,CD74,-39.698635,-1.6638099,0.0,0.0
6,IGKC,-54.71229,-1.7980897,0.0,0.0
0,S100A6,-63.9219,-1.8305664,0.0,0.0
0,SLC34A2,-48.158134,-1.8435476,0.0,0.0
2,COL1A1,-49.581837,-1.9192271,0.0,0.0
6,IGHG1,-44.802265,-1.9625182,0.0,0.0
2,S100A6,-62.669044,-1.9764037,0.0,0.0
2,SLC34A2,-46.796146,-2.0295932,0.0,0.0
0,CEACAM6,-65.562035,-2.08036,0.0,0.0
6,IGLC2,-53.582813,-2.2235522,0.0,0.0
0,ELF3,-49.85727,-2.2415266,0.0,0.0
2,ELF3,-46.451202,-2.3426569,0.0,0.0
8,IGLC2,-39.50096,-2.3536816,0.0,0.0
2,CEACAM6,-66.68271,-2.4060311,0.0,0.0
8,IGKC,-55.46972,-2.4196894,0.0,0.0
6,IGLC3,-51.973854,-2.534892,0.0,0.0
7,COL1A1,-38.943447,-2.5773232,0.0,0.0
7,COL3A1,-41.39974,-2.7180278,0.0,0.0
4,EPAS1,37.603127,2.8993733,1.911087822633083e-309,1.1621325049431778e-305
1,TAGLN,37.142826,2.1803815,5.724234874741634e-302,5.801512045550646e-299
0,CLDN4,-36.616974,-2.1410174,1.5357402650123824e-293,1.0376485057266997e-290
1,VIM,36.29636,1.0171255,1.8466154721668194e-288,1.773042424144173e-285
1,THBS2,36.21171,3.6613204,3.982512755033547e-287,3.63264900950385e-284
2,BTG1,36.124607,2.1889799,9.32026568953775e-286,1.3079200536479782e-282
20,ISG20,35.888397,7.8281302,4.63421115790783e-282,8.454191415371254e-278
1,COL6A2,35.834026,1.9905833,3.261788161315988e-281,2.833561972708932e-278
1,CCDC80,35.824818,2.6004248,4.537708833687853e-281,3.762791920589432e-278
9,SCGB1A1,35.771866,8.386357,3.0247936921159053e-280,7.883044475038638e-277
4,S100A6,-35.702824,-1.1302481,3.573665756123116e-279,1.6298596097238502e-275
8,MT-CO2,35.52928,1.3531759,1.7361152528664817e-276,2.2622821827173734e-273
8,MT-CO1,35.50107,1.3399798,4.732636564465204e-276,5.755832589702582e-273
8,SLC34A2,35.45924,1.5118897,2.08986491549865e-275,2.382837853340117e-272
0,RNASE1,-35.289238,-1.6325831,8.588003238485124e-273,5.595390824274433e-270
8,DDIT4,35.12029,2.6356196,3.304231449550459e-270,3.5458290784793547e-267
4,MT-CO3,-35.118774,-0.9727937,3.4849584298438528e-270,1.2715219327128281e-266
8,CD55,35.067303,1.7906754,2.124878607989418e-269,2.153564469197275e-266
8,IGLC3,-35.044212,-2.3847394,4.7768077398345595e-269,4.5864896630422044e-266
8,TMSB10,34.738483,1.3157895,2.0685556759060307e-264,1.886833059777686e-261
6,COL3A1,-34.7373,-1.4192362,2.1555323927344318e-264,6.553896240109039e-261
7,IGKC,-34.66367,-1.3898001,2.780505066239406e-263,6.340594240425685e-260
0,MT-ND2,-34.488163,-1.2545296,1.2070743077687163e-260,7.593329860905066e-258
6,IGHA1,-34.293842,-2.2022638,9.694541602830965e-258,2.5265360351492184e-254
3,C1QC,34.233456,3.1304429,7.688531769022825e-257,1.168849042185695e-253
9,NAPSA,34.047344,2.232812,4.443259061929002e-254,1.0132296883346348e-250
2,RNASE1,-33.952915,-1.7959975,1.1046654299754033e-252,1.4394579599315202e-249
0,LY6E,-33.87327,-1.640142,1.6494329814796498e-251,1.0030201960377751e-248
1,IGKC,33.750595,0.8599601,1.0477426954930745e-249,8.310421736469633e-247
8,MT-CYB,33.74465,1.2901602,1.280767139712174e-249,1.11262071094139e-246
2,COL3A1,-33.669735,-1.1797324,1.603654826021176e-248,1.9503649994069542e-245
3,C1QA,33.600773,3.1477962,1.634539779192394e-247,2.293762245523603e-244
2,CLDN4,-33.092144,-2.1428692,3.855104619135273e-240,4.395542097930299e-237
13,DNM2,32.957005,5.124771,3.357804070391831e-238,3.062820982807908e-234
1,COMP,32.866787,4.182813,6.557481864220751e-237,4.9845059020407984e-234
9,MUC1,32.695206,2.0222754,1.826971049554368e-234,3.7032703174467036e-231
4,SLC34A2,-32.686,-1.3803476,2.4692257952972944e-234,7.507681030601423e-231
4,MT-CO2,-32.49675,-0.9887107,1.1852221495735119e-231,3.088858239238511e-228
2,SAT1,-32.310856,-1.1928582,4.9243395214829886e-229,5.284395640612598e-226
8,MT-ATP6,32.28867,1.2443895,1.0089121721655087e-228,8.366174889461534e-226
3,RGS1,32.11336,1.6822444,2.8697377768233164e-226,3.739473304470554e-223
1,CCN2,32.09176,2.5077753,5.745051089921817e-226,4.1922786813377485e-223
10,IGKC,-31.86624,-1.7237699,7.842490029670766e-223,1.4307054561128377e-218
2,CXCL13,31.585463,5.668899,5.847004590844132e-219,5.925939152820527e-216
8,IGHG1,-31.432459,-2.0028882,7.29057393846372e-217,5.782693059104071e-214
1,C1S,31.39969,1.8988043,2.0430905024425048e-216,1.4335423090791774e-213
2,LAPTM5,31.342697,2.0586114,1.2234351309301746e-215,1.1746908996610094e-212
2,LY6E,-31.234247,-1.6906483,3.653836221514416e-214,3.332846709454375e-211
2,ZFP36L2,31.226603,1.8353353,4.6403821591052855e-214,4.0311662727884634e-211
7,LRRK2,31.134062,4.4939284,8.336320200757169e-213,1.689772104693478e-209
4,MT-CO1,-31.114359,-0.9103926,1.5401337090094766e-212,3.512082406682485e-209
2,ETS1,31.001766,2.4708471,5.102856682726639e-211,4.231427930135549e-208
9,NPC2,30.9679,1.9412038,1.4588734100847026e-210,2.661422762017523e-207
4,VWF,30.428984,4.446509,2.272772118595729e-203,4.606909084393542e-200
8,RNASE1,30.255854,1.4659735,4.369746834029124e-201,3.3215538122163876e-198
2,CEACAM5,-30.241451,-2.407458,6.758789351224527e-201,5.36089539714735e-198
8,MT-ND4,30.16546,1.1686195,6.72554484209675e-200,4.9077645821748405e-197
9,CD55,30.146503,1.658876,1.1920092803960079e-199,1.9768932092967612e-196
8,CEACAM5,30.080118,1.6950119,8.818960375663619e-199,6.187857466662745e-196
1,SERPINE1,29.981808,2.6852014,1.6945171378802346e-197,1.1449287461610785e-194
1,SFTPA2,-29.951628,-2.6870396,4.190208903648197e-197,2.730070751044788e-194
2,TRAC,29.884867,2.9519105,3.0950712002135627e-196,2.352640996062334e-193
1,CCN1,29.845839,2.080996,9.941133829373162e-196,6.2536587741122275e-193
2,CCL19,29.533318,2.6661332,1.0755888451927936e-191,7.848786921140852e-189
7,IGHG1,-29.503567,-1.6517034,2.591068111827557e-191,4.7268855564070125e-188
4,ELF3,-29.494623,-1.3565449,3.374312838246584e-191,6.155758910813244e-188
14,MGAT4A,29.48526,5.3429027,4.4489273395619824e-191,8.116178145562925e-187
8,ERRFI1,29.368227,2.2247055,1.3984543376384403e-189,9.448889807977062e-187
6,VIM,-28.812187,-1.2548882,1.5092404563282302e-182,3.441634205599488e-179
8,CD74,-28.808851,-1.770047,1.6617532201472772e-182,1.0826915712552421e-179
3,LIPA,28.780754,3.296489,3.735486700462833e-182,4.543098925102897e-179
